epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,789.014,1.17685,5.12344,1.56916,0.00361,0.56704,0.00591,0.0044,0.97133,4.87506,1.51186,1.26629e-05,1.26629e-05,1.26629e-05
2,1441.68,0.94235,4.21088,1.33108,0.42263,0.05971,0.03573,0.02606,0.94028,3.90573,1.45998,2.40757e-05,2.40757e-05,2.40757e-05
3,2077.49,0.91163,3.65675,1.29655,0.4169,0.11759,0.10221,0.07625,0.91635,3.38814,1.42182,3.42346e-05,3.42346e-05,3.42346e-05
4,2710.59,0.89024,3.3408,1.27717,0.34258,0.21553,0.17755,0.13325,0.91933,3.05106,1.41522,3.2357e-05,3.2357e-05,3.2357e-05
5,3342.45,0.87065,3.11224,1.26605,0.33265,0.31417,0.25496,0.19189,0.88694,2.76307,1.39815,3.0476e-05,3.0476e-05,3.0476e-05
6,3975.21,0.85597,2.92747,1.25827,0.34955,0.36025,0.31455,0.23853,0.87399,2.55863,1.38039,2.8595e-05,2.8595e-05,2.8595e-05
7,4609.99,0.84579,2.77753,1.2521,0.37348,0.40704,0.36047,0.27267,0.88007,2.40054,1.37836,2.6714e-05,2.6714e-05,2.6714e-05
8,5242.96,0.83537,2.65504,1.24177,0.3952,0.42835,0.3992,0.30266,0.87105,2.28552,1.36981,2.4833e-05,2.4833e-05,2.4833e-05
9,5875.58,0.82862,2.5515,1.24219,0.43866,0.4427,0.43253,0.32902,0.86188,2.1765,1.36053,2.2952e-05,2.2952e-05,2.2952e-05
10,6514.78,0.81587,2.46118,1.23164,0.44184,0.47328,0.45873,0.34843,0.8677,2.10336,1.36007,2.1071e-05,2.1071e-05,2.1071e-05
11,7300.56,0.7249,2.25308,1.29571,0.45162,0.48405,0.47489,0.36281,0.83529,2.06078,1.33171,1.919e-05,1.919e-05,1.919e-05
12,7939.49,0.70732,2.0848,1.27904,0.47469,0.48931,0.49425,0.37975,0.82543,1.98956,1.32442,1.7309e-05,1.7309e-05,1.7309e-05
13,8568.82,0.69884,1.98354,1.27042,0.49219,0.49892,0.51276,0.39254,0.82771,1.93214,1.32847,1.5428e-05,1.5428e-05,1.5428e-05
14,9198.95,0.69301,1.90137,1.26339,0.5105,0.51714,0.5306,0.40726,0.82972,1.8893,1.32732,1.3547e-05,1.3547e-05,1.3547e-05
15,9833.25,0.68328,1.82975,1.25627,0.51893,0.52626,0.54028,0.41515,0.82721,1.84947,1.32355,1.1666e-05,1.1666e-05,1.1666e-05
16,10460.2,0.67487,1.76777,1.24694,0.52371,0.52286,0.5451,0.42001,0.82456,1.8238,1.32135,9.785e-06,9.785e-06,9.785e-06
17,11089.4,0.66779,1.71558,1.24168,0.52054,0.53944,0.55012,0.42245,0.82583,1.80911,1.32452,7.904e-06,7.904e-06,7.904e-06
18,11718.9,0.66446,1.67765,1.23921,0.524,0.54777,0.55596,0.42684,0.82869,1.7943,1.32591,6.023e-06,6.023e-06,6.023e-06
19,12347.8,0.6559,1.63087,1.23107,0.50558,0.55641,0.55933,0.42957,0.82595,1.78372,1.3272,4.142e-06,4.142e-06,4.142e-06
20,12973.8,0.65185,1.60563,1.22684,0.51857,0.55476,0.56153,0.43043,0.82674,1.77469,1.32863,2.261e-06,2.261e-06,2.261e-06
